event_id,official_date,url,first_capture_utc,note
AIT-2024-05-001,2024-05-13,https://openai.com/index/hello-gpt-4o/,,err:ConnectionResetError
AIT-2024-05-002,2024-05-14,https://blog.google/innovation-and-ai/products/google-gemini-update-flash-ai-assistant-io-2024/,,err:ConnectionResetError
AIT-2024-06-001,2024-06-12,https://stability.ai/news/stable-diffusion-3-medium,,err:ConnectionResetError
AIT-2024-06-003,2024-06-17,https://arxiv.org/abs/2406.11931,,err:ConnectionResetError
AIT-2024-06-004,2024-06-17,https://runwayml.com/research/introducing-gen-3-alpha,,err:ConnectionResetError
AIT-2024-06-005,2024-06-20,https://www.anthropic.com/news/claude-3-5-sonnet,,err:ConnectionResetError
AIT-2024-07-001,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,,err:ConnectionResetError
AIT-2024-07-002,2024-07-23,https://ai.meta.com/blog/meta-llama-3-1/,,err:ConnectionResetError
AIT-2024-07-006,2024-07-23,https://www.udio.com/blog/introducing-v1-5,,err:ConnectionResetError
AIT-2024-07-007,2024-07-24,https://mistral.ai/news/mistral-large-2407/,,err:ConnectionResetError
AIT-2024-07-008,2024-07-30,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,,err:ConnectionResetError
AIT-2024-08-001,2024-08-01,https://bfl.ai/blog/24-08-01-bfl,,err:ConnectionResetError
AIT-2024-08-002,2024-08-06,https://openai.com/index/introducing-structured-outputs-in-the-api/,,err:ConnectionResetError
AIT-2024-08-003,2024-08-13,https://arxiv.org/abs/2408.07009,,err:ConnectionResetError
AIT-2024-08-004,2024-08-13,https://x.ai/news/grok-2,,err:ConnectionResetError
AIT-2024-08-006,2024-08-27,https://ai.google.dev/gemini-api/docs/changelog,,err:ConnectionResetError
AIT-2024-09-002,2024-09-12,https://openai.com/index/introducing-openai-o1-preview/,,err:ConnectionResetError
AIT-2024-09-003,2024-09-19,https://qwenlm.github.io/blog/qwen2.5/,,err:ConnectionResetError
AIT-2024-09-006,2024-09-25,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,,err:ConnectionResetError
AIT-2024-09-007,2024-09-24,https://ai.google.dev/gemini-api/docs/changelog,,err:ConnectionResetError
AIT-2024-09-008,2024-09-18,https://kyutai.org/blog/2024-09-18-moshi-release/,,err:ConnectionResetError
AIT-2024-09-010,2024-09-17,https://docs.mistral.ai/models/model-cards/mistral-small-2-0-24-09,,err:ConnectionResetError
AIT-2024-10-001,2024-10-02,https://bfl.ai/blog/24-10-02-flux,,err:ConnectionResetError
AIT-2024-10-010,2024-10-22,https://stability.ai/news/introducing-stable-diffusion-3-5,,err:ConnectionResetError
AIT-2024-10-011,2024-10-22,https://www.anthropic.com/news/3-5-models-and-computer-use,,err:ConnectionResetError
AIT-2024-10-013,2024-10-30,https://www.recraft.ai/blog/recraft-introduces-a-revolutionary-ai-model-that-thinks-in-design-language,,err:ConnectionResetError
AIT-2024-11-001,2024-11-28,https://qwenlm.github.io/blog/qwq-32b-preview/,,err:ConnectionResetError
AIT-2024-11-002,2024-11-12,https://qwenlm.github.io/blog/qwen2.5-coder-family/,,err:ConnectionResetError
AIT-2024-11-005,2024-11-18,https://mistral.ai/news/pixtral-large/,20241118153359,err:ConnectionResetError
AIT-2024-11-007,2024-11-04,https://cloud.google.com/vertex-ai/generative-ai/docs/release-notes,,err:ConnectionResetError
AIT-2024-12-001,2024-12-03,https://aws.amazon.com/blogs/aws/introducing-amazon-nova-frontier-intelligence-and-industry-leading-price-performance/,,err:ConnectionResetError
AIT-2024-12-002,2024-12-05,https://openai.com/index/sora-is-here/,,err:ConnectionResetError
AIT-2024-12-004,2024-12-11,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/google-gemini-ai-update-december-2024/,,err:ConnectionResetError
AIT-2024-12-005,2024-12-19,https://ai.google.dev/gemini-api/docs/changelog,,err:ConnectionResetError
AIT-2024-12-006,2024-12-16,https://deepmind.google/models/veo/,,err:ConnectionResetError
