event_id,ticker,car_sym14
AIT-2023-07-002,MELI,-0.03417607
AIT-2023-07-002,META,-0.01711546
AIT-2023-07-002,MNST,-0.07316948
AIT-2023-07-002,MPWR,0.00198445
AIT-2023-07-002,MRVL,-0.03542686
AIT-2023-07-002,MSFT,-0.09489066
AIT-2023-07-002,MSTR,0.27070201
AIT-2023-07-002,MTSI,0.09551066
AIT-2023-07-002,MU,-0.01413555
AIT-2023-07-002,NFLX,-0.09725533
AIT-2023-07-002,NVDA,-0.13458591
AIT-2023-07-002,NXPI,0.05739187
AIT-2023-07-002,ODFL,0.18704422
AIT-2023-07-002,ON,0.09550955
AIT-2023-07-002,ORLY,-0.04445045
AIT-2023-07-002,PANW,-0.05831923
AIT-2023-07-002,PAYX,0.08688753
AIT-2023-07-002,PCAR,0.02107311
AIT-2023-07-002,PDD,0.07460132
AIT-2023-07-002,PEP,-0.01690658
AIT-2023-07-002,PLTR,0.07128268
AIT-2023-07-002,PYPL,0.14933174
AIT-2023-07-002,QCOM,0.04823491
AIT-2023-07-002,REGN,-0.07920809
AIT-2023-07-002,RKLB,0.23934855
AIT-2023-07-002,ROP,0.02622040
AIT-2023-07-002,ROST,0.00977328
AIT-2023-07-002,SBUX,-0.03770949
AIT-2023-07-002,SHOP,-0.12548373
AIT-2023-07-002,SNPS,-0.04727864
AIT-2023-07-002,STX,-0.04032304
AIT-2023-07-002,TER,-0.05771612
AIT-2023-07-002,TMUS,0.04597456
AIT-2023-07-002,TRI,-0.00798343
AIT-2023-07-002,TSLA,0.02416918
AIT-2023-07-002,TSM,-0.12147950
AIT-2023-07-002,TTWO,0.04761848
AIT-2023-07-002,TXN,-0.00276339
AIT-2023-07-002,UMC,-0.16155751
AIT-2023-07-002,VRTX,-0.02983614
AIT-2023-07-002,WBD,-0.00212588
AIT-2023-07-002,WDAY,-0.02998423
AIT-2023-07-002,WDC,0.00591130
AIT-2023-07-002,WMT,-0.00738640
AIT-2023-07-002,XEL,-0.01375533
AIT-2023-07-003,AAPL,-0.08802235
AIT-2023-07-003,ABNB,0.09288033
AIT-2023-07-003,ADBE,-0.00406681
AIT-2023-07-003,ADI,-0.04326289
AIT-2023-07-003,ADP,0.14523795
AIT-2023-07-003,ADSK,-0.01981274
AIT-2023-07-003,AEP,-0.03419264
AIT-2023-07-003,ALNY,-0.04099448
AIT-2023-07-003,AMAT,-0.03034315
AIT-2023-07-003,AMD,-0.02785123
AIT-2023-07-003,AMGN,0.11201229
AIT-2023-07-003,AMZN,0.07316500
AIT-2023-07-003,APP,0.15917118
AIT-2023-07-003,ASML,-0.10936771
AIT-2023-07-003,ASX,-0.12858481
AIT-2023-07-003,AVGO,-0.02793700
AIT-2023-07-003,AXON,-0.14825653
AIT-2023-07-003,BKNG,0.13479039
AIT-2023-07-003,BKR,0.07733933
AIT-2023-07-003,CCEP,-0.05780299
AIT-2023-07-003,CDNS,-0.03006056
AIT-2023-07-003,CEG,0.10929001
AIT-2023-07-003,CMCSA,0.05547296
AIT-2023-07-003,COST,0.03462210
