event_id,ticker,car_s1_0_1,car_s1_0_2,car_s1_0_5,car_s1_0_20
AIT-2022-12-001,APP,-0.02916662,-0.02138020,-0.04315548,0.10046099
AIT-2022-12-001,ASML,-0.00788759,-0.01405539,-0.01159829,0.04084201
AIT-2022-12-001,ASX,-0.00275526,-0.00620721,-0.02092003,0.03717207
AIT-2022-12-001,AVGO,0.04902968,0.05271249,0.08423289,0.12431794
AIT-2022-12-001,AXON,-0.01526916,-0.03776730,-0.00022539,-0.00563068
AIT-2022-12-001,BKNG,0.03402459,0.04681735,0.02198846,0.15193483
AIT-2022-12-001,BKR,-0.02921642,-0.00170124,0.04407662,0.08644748
AIT-2022-12-001,CCEP,0.02903048,0.02226092,0.03370661,0.07621518
AIT-2022-12-001,CDNS,0.01538425,0.01029592,0.01147639,0.00933786
AIT-2022-12-001,CEG,-0.03422784,-0.03930057,-0.04470630,-0.17857622
AIT-2022-12-001,CMCSA,0.02184043,0.04611753,0.01359966,0.11880237
AIT-2022-12-001,COST,0.00051896,-0.00394974,-0.03328115,-0.00964984
AIT-2022-12-001,CPRT,0.00906932,0.00102865,-0.03498689,-0.01658596
AIT-2022-12-001,CRDO,-0.02006749,-0.06694009,-0.06410715,-0.13642569
AIT-2022-12-001,CRWD,0.01529068,0.02005881,0.03040692,-0.14249692
AIT-2022-12-001,CSCO,0.00635556,0.01158061,0.00941945,0.03130020
AIT-2022-12-001,CSX,0.01627171,0.02973752,0.03559409,0.04808484
AIT-2022-12-001,CTAS,-0.00290854,-0.00918154,-0.01983921,-0.04804144
AIT-2022-12-001,DASH,0.03187673,0.05087390,0.05804625,-0.06138237
AIT-2022-12-001,DDOG,0.09545191,0.10006237,0.17443058,0.04589370
AIT-2022-12-001,DXCM,-0.01433165,-0.03404221,-0.00923965,-0.08856765
AIT-2022-12-001,EA,-0.01114087,-0.01271629,-0.03106080,-0.01570470
AIT-2022-12-001,ENTG,0.01021267,0.02603269,0.00868877,0.12954309
AIT-2022-12-001,EXC,-0.02174589,-0.00491252,0.00639477,0.04476847
AIT-2022-12-001,FANG,-0.05545461,-0.03348133,0.00383065,0.00971382
AIT-2022-12-001,FAST,0.01265829,0.01315833,-0.04122032,-0.05028300
AIT-2022-12-001,FER,0.00045592,0.00035221,0.00159134,0.02078371
AIT-2022-12-001,FTNT,0.00964662,0.01605259,0.02469618,-0.03227237
AIT-2022-12-001,GILD,-0.00222749,-0.00546569,-0.01384424,-0.06341733
AIT-2022-12-001,GOOG,-0.02065098,-0.03335569,-0.02444995,-0.03695520
AIT-2022-12-001,GOOGL,-0.02099904,-0.03392204,-0.02575826,-0.04328170
AIT-2022-12-001,HON,-0.01156790,-0.01034390,-0.02253979,-0.03445589
AIT-2022-12-001,IDXX,0.00159820,-0.01015319,0.00195181,0.08407859
AIT-2022-12-001,INTC,-0.00083400,-0.00108120,-0.02282168,0.07628607
AIT-2022-12-001,INTU,0.02909051,0.03316581,0.03889590,0.04215884
AIT-2022-12-001,ISRG,0.00858652,0.00017359,0.00857183,-0.00691429
AIT-2022-12-001,KDP,-0.00090879,-0.00404098,-0.03226777,-0.04713776
AIT-2022-12-001,KHC,0.00029209,0.00425003,-0.00160392,0.05008450
AIT-2022-12-001,KLAC,0.01078785,0.00599445,-0.00065965,0.04421603
AIT-2022-12-001,LIN,0.00000847,-0.00310547,0.00058450,-0.04181291
AIT-2022-12-001,LITE,0.05867853,0.04611195,0.04620434,0.15478641
AIT-2022-12-001,LRCX,0.01315962,0.01956215,0.02563961,0.04788094
AIT-2022-12-001,MAR,0.02369211,0.01933898,-0.00276542,-0.02498718
AIT-2022-12-001,MCHP,0.00612200,0.00209666,-0.02609370,-0.02491129
AIT-2022-12-001,MDLZ,-0.01524514,-0.01931723,-0.02139840,-0.00808896
AIT-2022-12-001,MELI,0.03269540,-0.02164824,-0.02408385,0.02050143
