"date","portfolio","event_window","event_portfolio_return","active_events"
2024-12-23,"competitor_minus_unrelated","pre_21_1",0.0544425252602148,4
2024-12-23,"hardware_minus_unrelated","0_10",0.0681078742990668,4
2024-12-23,"hardware_minus_unrelated","pre_21_1",0.0681078742990668,4
2024-12-23,"competitor_minus_unrelated","pre_11_1",0.0558173923870391,1
2024-12-23,"deployer_minus_unrelated","pre_21_1",0.0468681492277727,4
2024-12-23,"deployer_minus_unrelated","pre_11_1",0.0468681492277727,1
2024-12-23,"deployer_minus_unrelated","0_20",0.0468681492277727,8
2024-12-24,"hardware_minus_unrelated","pre_11_1",-0.0327523226611992,1
2024-12-24,"hardware_minus_unrelated","0_20",-0.0327523226611992,8
2024-12-24,"competitor_minus_unrelated","pre_21_1",-0.0323167316433749,5
2024-12-24,"competitor_minus_unrelated","0_20",-0.0328353700555049,8
2024-12-24,"hardware_minus_unrelated","pre_21_1",-0.0327523226611992,5
2024-12-24,"deployer_minus_unrelated","0_10",-0.0374583897633394,4
2024-12-24,"competitor_minus_unrelated","pre_11_1",-0.0321646252203898,1
2024-12-24,"deployer_minus_unrelated","0_20",-0.0374583897633394,8
2024-12-24,"competitor_minus_unrelated","0_10",-0.0326997985969963,4
2024-12-24,"hardware_minus_unrelated","0_10",-0.0327523226611992,4
2024-12-24,"deployer_minus_unrelated","pre_21_1",-0.0374583897633394,5
2024-12-24,"deployer_minus_unrelated","pre_11_1",-0.0374583897633394,1
2024-12-26,"hardware_minus_unrelated","0_10",0.0236122553759941,5
2024-12-26,"competitor_minus_unrelated","0_10",0.0235568084463637,5
2024-12-26,"deployer_minus_unrelated","0_10",0.020576128603004,5
2024-12-26,"competitor_minus_unrelated","pre_11_1",0,0
2024-12-26,"deployer_minus_unrelated","pre_21_1",0.020576128603004,4
2024-12-26,"hardware_minus_unrelated","pre_11_1",0,0
2024-12-26,"competitor_minus_unrelated","pre_21_1",0.0228736732450702,4
2024-12-26,"hardware_minus_unrelated","0_20",0.0236122553759941,9
2024-12-26,"competitor_minus_unrelated","0_20",0.0234494329148823,9
2024-12-26,"hardware_minus_unrelated","pre_21_1",0.0236122553759941,4
2024-12-26,"deployer_minus_unrelated","pre_11_1",0,0
2024-12-26,"deployer_minus_unrelated","0_20",0.020576128603004,9
2024-12-27,"hardware_minus_unrelated","0_20",0.0108803827684527,9
2024-12-27,"competitor_minus_unrelated","0_20",0.00687644718968719,9
2024-12-27,"competitor_minus_unrelated","pre_11_1",0,0
2024-12-27,"competitor_minus_unrelated","0_10",0.00738988309432069,4
2024-12-27,"hardware_minus_unrelated","0_10",0.0108803827684527,4
2024-12-27,"deployer_minus_unrelated","0_20",0.00775275426424563,9
2024-12-27,"hardware_minus_unrelated","pre_21_1",0.0108803827684527,4
2024-12-27,"hardware_minus_unrelated","pre_11_1",0,0
2024-12-27,"deployer_minus_unrelated","0_10",0.00775275426424563,4
2024-12-27,"deployer_minus_unrelated","pre_11_1",0,0
2024-12-27,"deployer_minus_unrelated","pre_21_1",0.00775275426424563,4
2024-12-27,"competitor_minus_unrelated","pre_21_1",0.00660305427621706,4
2024-12-30,"deployer_minus_unrelated","0_20",0.0304490064262983,9
2024-12-30,"hardware_minus_unrelated","0_20",0.0252787153390068,9
2024-12-30,"competitor_minus_unrelated","0_10",0.0340640258276767,3
2024-12-30,"competitor_minus_unrelated","0_20",0.0343834836906433,9
2024-12-30,"deployer_minus_unrelated","pre_21_1",0.0304490064262983,5
2024-12-30,"hardware_minus_unrelated","0_10",0.0252787153390068,3
2024-12-30,"hardware_minus_unrelated","pre_11_1",0,0
2024-12-30,"competitor_minus_unrelated","pre_21_1",0.0341283208082811,5
2024-12-30,"hardware_minus_unrelated","pre_21_1",0.0252787153390068,5
2024-12-30,"deployer_minus_unrelated","0_10",0.0304490064262983,3
2024-12-30,"deployer_minus_unrelated","pre_11_1",0,0
2024-12-30,"competitor_minus_unrelated","pre_11_1",0,0
2024-12-31,"hardware_minus_unrelated","0_20",0.0155105524162907,8
2024-12-31,"hardware_minus_unrelated","pre_11_1",0,0
2024-12-31,"deployer_minus_unrelated","0_10",0.0252285861978189,3
2024-12-31,"competitor_minus_unrelated","0_10",0.0144248616679285,3
2024-12-31,"competitor_minus_unrelated","0_20",0.013943486773015,8
2024-12-31,"hardware_minus_unrelated","pre_21_1",0.0155105524162907,5
2024-12-31,"competitor_minus_unrelated","pre_11_1",0,0
2024-12-31,"deployer_minus_unrelated","pre_21_1",0.0252285861978189,5
2024-12-31,"hardware_minus_unrelated","0_10",0.0155105524162907,3
2024-12-31,"deployer_minus_unrelated","0_20",0.0252285861978189,8
2024-12-31,"competitor_minus_unrelated","pre_21_1",0.0134806949480417,5
2024-12-31,"deployer_minus_unrelated","pre_11_1",0,0
2025-01-02,"hardware_minus_unrelated","0_20",-0.0019627888967457,8
2025-01-02,"deployer_minus_unrelated","0_10",-0.015435231103725,2
2025-01-02,"competitor_minus_unrelated","0_20",-0.015693614342788,8
2025-01-02,"hardware_minus_unrelated","0_10",-0.0019627888967457,2
2025-01-02,"hardware_minus_unrelated","pre_11_1",-0.0019627888967457,2
2025-01-02,"competitor_minus_unrelated","0_10",-0.0151604613653364,2
2025-01-02,"competitor_minus_unrelated","pre_21_1",-0.0145153486008823,5
2025-01-02,"deployer_minus_unrelated","0_20",-0.015435231103725,8
2025-01-02,"competitor_minus_unrelated","pre_11_1",-0.0151604613653364,2
2025-01-02,"deployer_minus_unrelated","pre_21_1",-0.015435231103725,5
2025-01-02,"deployer_minus_unrelated","pre_11_1",-0.015435231103725,2
2025-01-02,"hardware_minus_unrelated","pre_21_1",-0.0019627888967457,5
2025-01-03,"deployer_minus_unrelated","0_10",-0.0602056458133607,2
