"dropped_event_id","variable","beta","se","p","n"
"FMR-0045","downstream_deployer",-0.0195982787950424,0.0051745796963894,0.000363741314106139,4750
"FMR-0046","upstream_hardware",0.0232234442971321,0.00853679551326753,0.00859120285850441,4746
"FMR-0046","downstream_deployer",-0.0204395647736302,0.0050069047250725,0.000138248052381107,4746
"FMR-0047","upstream_hardware",0.023539429407915,0.0085313334313158,0.00774089844242073,4746
"FMR-0047","downstream_deployer",-0.020255415001788,0.0050197676230474,0.000161747347242872,4746
"FMR-0048","upstream_hardware",0.0231780201248089,0.00853861924817875,0.00872785250430946,4750
"FMR-0048","downstream_deployer",-0.019210766671376,0.00518472532500819,0.000473227249336236,4750
"FMR-0049","upstream_hardware",0.0223788659956884,0.00855215309783714,0.0113007593095577,4750
"FMR-0049","downstream_deployer",-0.0192026008864065,0.00517261856694573,0.000462649634708222,4750
"FMR-0050","upstream_hardware",0.0225953841163513,0.00855431081474886,0.0105936515643074,4750
"FMR-0050","downstream_deployer",-0.0187909669135238,0.00516195190965221,0.000581501627992743,4750
"FMR-0051","upstream_hardware",0.0242905362667167,0.00841158142042952,0.00544497433259875,4750
"FMR-0051","downstream_deployer",-0.0192809902797131,0.00514772535711524,0.000416107339033762,4750
"FMR-0052","upstream_hardware",0.024223033792449,0.00842728978228993,0.00565072577842689,4750
"FMR-0052","downstream_deployer",-0.0190879982695973,0.00515019965982515,0.000471719883733042,4750
"FMR-0053","upstream_hardware",0.0235674693690194,0.00851622799814282,0.00757158996794751,4750
"FMR-0053","downstream_deployer",-0.0187229985001261,0.00514396463505362,0.000582390617988975,4750
"FMR-0054","upstream_hardware",0.0236605153741984,0.00851299493557022,0.00732994317372537,4746
"FMR-0054","downstream_deployer",-0.0185330870988391,0.00513347035440592,0.00063920308040463,4746
"FMR-0055","upstream_hardware",0.0226139872412964,0.00854752172686133,0.0104752286624782,4749
"FMR-0055","downstream_deployer",-0.0195965482218186,0.00512553923679159,0.000323937837604984,4749
"FMR-0056","upstream_hardware",0.0202610674298338,0.00816421214442004,0.0159948273049724,4752
"FMR-0056","downstream_deployer",-0.0198885599243276,0.00507289123374867,0.000236026768108221,4752
"FMR-0057","upstream_hardware",0.0221382940280356,0.00852501198293194,0.0119023074138417,4752
"FMR-0057","downstream_deployer",-0.0196619681414889,0.00510353956220283,0.000294584797415013,4752
"FMR-0058","upstream_hardware",0.0224677833563265,0.00854675305338121,0.0109497027702467,4753
"FMR-0058","downstream_deployer",-0.0186281218009765,0.0051263773264019,0.000593557695111268,4753
"FMR-0059","upstream_hardware",0.0232937381654202,0.00854038161806125,0.00842964713981961,4752
"FMR-0059","downstream_deployer",-0.0176754683526441,0.00496566883213096,0.000749205200912037,4752
"FMR-0060","upstream_hardware",0.0235062381818833,0.00851045992753348,0.00768120595927755,4753
"FMR-0060","downstream_deployer",-0.0178783494013846,0.0050184694331312,0.0007422799363023,4753
