"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","dropped_event"
"closed source sample","mkt_car_20","drop event FMR-0010","z_intelligence",0.0235070775877994,0.00619140347698011,0.000577493110966873,0.010924631866736,0.0360895233088629,2805,35,0.316846389566763,"FMR-0010"
"closed source sample","mkt_car_20","drop event FMR-0011","z_intelligence",0.0235508978063477,0.00619279094785492,0.00056742576333594,0.010965632405217,0.0361361632074783,2805,35,0.317425448818737,"FMR-0011"
"closed source sample","mkt_car_20","drop event FMR-0012","z_intelligence",0.0242826142109498,0.00618921075256276,0.000403128891305009,0.011704624642044,0.0368606037798557,2805,35,0.317755911327042,"FMR-0012"
"closed source sample","mkt_car_20","drop event FMR-0013","z_intelligence",0.0233559236338521,0.0060864220894386,0.000514757824452362,0.0109868257612004,0.0357250215065038,2805,35,0.319788892869509,"FMR-0013"
"closed source sample","mkt_car_20","drop event FMR-0015","z_intelligence",0.0243509828347024,0.00598970805489397,0.000268304799081731,0.0121784315277281,0.0365235341416768,2802,35,0.340963086761404,"FMR-0015"
"closed source sample","mkt_car_20","drop event FMR-0016","z_intelligence",0.0232831762911394,0.0062687591133217,0.000707500498723393,0.0105569187148934,0.0360094338673854,2884,36,0.31620746150203,"FMR-0016"
"closed source sample","mkt_car_20","drop event FMR-0017","z_intelligence",0.0235587905517128,0.00620211910579515,0.000574599911541679,0.0109545680528261,0.0361630130505995,2805,35,0.3173530527631,"FMR-0017"
"closed source sample","mkt_car_20","drop event FMR-0018","z_intelligence",0.0236470433636249,0.00671268552916122,0.0012407606375435,0.0100052250542105,0.0372888616730393,2805,35,0.325356489892749,"FMR-0018"
"closed source sample","mkt_car_20","drop event FMR-0019","z_intelligence",0.0231942222713549,0.00637088539389213,0.000894829657939773,0.0102470254101252,0.0361414191325846,2805,35,0.325343300960358,"FMR-0019"
"closed source sample","mkt_car_20","drop event FMR-0020","z_intelligence",0.0294712546454865,0.0042953425331206,6.70918274264214e-08,0.0207420683669133,0.0382004409240597,2802,35,0.343029797053212,"FMR-0020"
