"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared"
"Intelligence x upstream x open weight","ff3_car_20","all event-firm panel","broad_upstream",0.0312191356090892,0.0129825845688884,0.0202681746376784,0.00508654826777448,0.0573517229504038,3782,47,0.287319020650903
"Intelligence x upstream x open weight","ff3_car_20","all event-firm panel","is_open_weight_or_open_source",-0.0256999531868828,0.0109347812834927,0.0231031673573307,-0.0477105263075718,-0.00368938006619387,3782,47,0.287319020650903
"Intelligence x upstream x open weight","ff3_car_20","all event-firm panel","z_intelligence:broad_upstream",-0.026795485585011,0.0117967524513881,0.0278452314244359,-0.050541116675952,-0.00304985449406992,3782,47,0.287319020650903
"Intelligence x upstream x open weight","ff3_car_20","all event-firm panel","z_intelligence:is_open_weight_or_open_source",-0.0270517220660128,0.0130194541831586,0.0433370965947578,-0.0532585240916258,-0.000844920040399672,3782,47,0.287319020650903
"Intelligence x upstream x open weight","ff3_car_20","all event-firm panel","broad_upstream:is_open_weight_or_open_source",-0.0227762095255787,0.0219093298389451,0.30397476827207,-0.0668774031336654,0.0213249840825079,3782,47,0.287319020650903
"Intelligence x upstream x open weight","ff3_car_20","all event-firm panel","z_intelligence:broad_upstream:is_open_weight_or_open_source",0.0425979263889201,0.0245825791984018,0.089822477549464,-0.00688423908963122,0.0920800918674715,3782,47,0.287319020650903
"Intelligence x downstream x open weight","ff3_car_20","all event-firm panel","z_intelligence",0.00189813614294212,0.00548713970185682,0.730976612014043,-0.00914690321358154,0.0129431754994658,3782,47,0.293714634887857
"Intelligence x downstream x open weight","ff3_car_20","all event-firm panel","broad_downstream",-0.00560349712628421,0.00692637456684813,0.422674955454815,-0.0195455660083603,0.00833857175579185,3782,47,0.293714634887857
"Intelligence x downstream x open weight","ff3_car_20","all event-firm panel","is_open_weight_or_open_source",-0.0249152118944245,0.00878499785594373,0.00676711668569942,-0.0425984954151702,-0.00723192837367874,3782,47,0.293714634887857
"Intelligence x downstream x open weight","ff3_car_20","all event-firm panel","z_intelligence:broad_downstream",0.0376629759659158,0.00873955000410255,8.53317157287157e-05,0.0200711742261215,0.0552547777057101,3782,47,0.293714634887857
"Intelligence x downstream x open weight","ff3_car_20","all event-firm panel","z_intelligence:is_open_weight_or_open_source",-0.0126329917376332,0.0118009936075146,0.28997817144537,-0.0363871598330757,0.0111211763578093,3782,47,0.293714634887857
"Intelligence x downstream x open weight","ff3_car_20","all event-firm panel","broad_downstream:is_open_weight_or_open_source",-0.00579330833791454,0.01761590260786,0.743747988728393,-0.0412522811682692,0.0296656644924401,3782,47,0.293714634887857
"Intelligence x downstream x open weight","ff3_car_20","all event-firm panel","z_intelligence:broad_downstream:is_open_weight_or_open_source",-0.044438863711293,0.0140254056139733,0.00272317218377271,-0.0726705409447196,-0.0162071864778663,3782,47,0.293714634887857
