"family","sample","outcome","fe","term","coef","se","p","n","n_events","n_tickers","n_treated","treated_events","treated_tickers","rhs","note","q_global","q_family","sig_p05","sig_q10_family","direction"
"single_or_bundle","main","car_ff3_0_20","event","rel_is_investor",0.0225719250653141,0.011584849981637,0.0536444414883209,12112,124,101,89,45,5,"rel_is_investor + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.303826925243587,0.248085405081123,FALSE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","event","rel_is_owner",0.00457079069979509,0.0125518873172963,0.716369995155124,12112,124,101,53,32,5,"rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.902868839896178,0.846019779554364,FALSE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","event","upstream_any",0.0167626669681916,0.00638756302203152,0.00978389484232694,12112,124,101,3250,124,29,"upstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.168603934661808,0.130801309594973,TRUE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","event","downstream_any",-0.00860825156269881,0.00405623306678319,0.035824010227715,12112,124,101,4920,124,40,"downstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.257033257239211,0.205854387129407,TRUE,FALSE,"negative"
"single_or_bundle","main","car_ff3_0_20","event","related_any",0.00349863620975389,0.00286902487376623,0.225006197813261,12112,124,101,8173,124,69,"related_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.620919927918568,0.528078720073383,FALSE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","event","platform_bigtech",0.0065897692994841,0.00507855785412304,0.196864428666713,12112,124,101,869,123,9,"platform_bigtech + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.590038932845144,0.494569690288316,FALSE,FALSE,"positive"
"joint_core","main","car_ff3_0_20","year","rel_upstream_hardware",0.0178591087057132,0.00656019475150859,0.00742396639246245,12112,124,101,2688,124,23,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.147557095999254,0.204073401237502,TRUE,FALSE,"positive"
"joint_core","main","car_ff3_0_20","year","rel_upstream_cloud",0.00199237343931067,0.00744360438781626,0.789407467621994,12112,124,101,562,123,6,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.921935728609628,0.960514626893404,FALSE,FALSE,"positive"
"joint_core","main","car_ff3_0_20","year","rel_downstream_integrator",-0.00412883316625916,0.00477158609762728,0.388561032521515,12112,124,101,1971,124,16,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.745494122883442,0.807243495709738,FALSE,FALSE,"negative"
"joint_core","main","car_ff3_0_20","year","rel_downstream_deployer",0.000183017312586977,0.00244793936841219,0.940524081940193,12112,124,101,2949,124,24,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.982912169238608,0.994607829484708,FALSE,FALSE,"positive"
"joint_core","main","car_ff3_0_20","year","rel_competitor",0.0159273206457235,0.0058579387224252,0.00749657392301027,12112,124,101,746,123,7,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.148080472553289,0.204073401237502,TRUE,FALSE,"positive"
"joint_core","main","car_ff3_0_20","year","rel_is_investor",0.0145245387727283,0.0113293430690382,0.202243878335826,12112,124,101,89,45,5,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.596256348031743,0.726003665820915,FALSE,FALSE,"positive"
"joint_core","main","car_ff3_0_20","year","rel_is_owner",0.0151012605951664,0.0135530959382372,0.267353215455451,12112,124,101,53,32,5,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.657960743854689,0.781065329913184,FALSE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","year","rel_upstream_hardware",0.0175511954661112,0.00683670772427153,0.0114501301959192,12112,124,101,2688,124,23,"rel_upstream_hardware + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.172832153900668,0.135244083312711,TRUE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","year","rel_upstream_cloud",0.00725008056979891,0.0058474738320655,0.217385404154014,12112,124,101,562,123,6,"rel_upstream_cloud + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.615604684329953,0.518635538814561,FALSE,FALSE,"positive"
"single_or_bundle","main","car_ff3_0_20","year","rel_downstream_integrator",-0.00841341323994209,0.00533690932757638,0.117488848516189,12112,124,101,1971,124,16,"rel_downstream_integrator + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.466456966813653,0.376159722900064,FALSE,FALSE,"negative"
"single_or_bundle","main","car_ff3_0_20","year","rel_downstream_deployer",-0.00551963412256383,0.00236737270504811,0.0213511965079548,12112,124,101,2949,124,24,"rel_downstream_deployer + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.20477944968898,0.163586281702739,TRUE,FALSE,"negative"
