date,Mkt_RF,Mkt_RF_decimal,SMB,SMB_decimal,HML,HML_decimal,RF,RF_decimal
2022-01-18,-2.06,-0.0206,-1.04,-0.0104,1.38,0.0138,0.0,0.0
2022-01-19,-1.02,-0.0102,-0.32,-0.0032,-0.67,-0.0067,0.0,0.0
2022-01-20,-1.15,-0.0115,-0.86,-0.0086,-0.23,-0.0023,0.0,0.0
2022-01-21,-2.09,-0.0209,0.28,0.0028000000000000004,0.47,0.004699999999999999,0.0,0.0
2022-01-24,0.53,0.0053,1.81,0.0181,-0.25,-0.0025,0.0,0.0
2022-01-25,-1.42,-0.014199999999999999,-0.61,-0.0060999999999999995,2.8,0.027999999999999997,0.0,0.0
2022-01-26,-0.29,-0.0029,-1.07,-0.010700000000000001,0.1,0.001,0.0,0.0
2022-01-27,-0.76,-0.0076,-1.65,-0.0165,0.83,0.0083,0.0,0.0
2022-01-28,2.46,0.0246,-0.15,-0.0015,-2.08,-0.0208,0.0,0.0
2022-01-31,2.32,0.0232,1.31,0.0131,-2.87,-0.0287,0.0,0.0
2022-02-01,0.87,0.0087,0.06,0.0006,0.65,0.006500000000000001,0.0,0.0
2022-02-02,0.51,0.0051,-1.73,-0.0173,0.7,0.006999999999999999,0.0,0.0
2022-02-03,-2.48,-0.0248,-0.06,-0.0006,2.19,0.0219,0.0,0.0
2022-02-04,0.89,0.0089,-0.02,-0.0002,-0.6,-0.006,0.0,0.0
2022-02-07,-0.24,-0.0024,0.55,0.0055000000000000005,0.2,0.002,0.0,0.0
2022-02-08,1.02,0.0102,0.67,0.0067,-0.29,-0.0029,0.0,0.0
2022-02-09,1.6,0.016,0.24,0.0024,-1.96,-0.0196,0.0,0.0
2022-02-10,-1.69,-0.0169,-0.14,-0.0014000000000000002,1.23,0.0123,0.0,0.0
2022-02-11,-1.91,-0.0191,0.61,0.0060999999999999995,2.13,0.0213,0.0,0.0
2022-02-14,-0.35,-0.0034999999999999996,0.22,0.0022,-0.62,-0.0062,0.0,0.0
2022-02-15,1.85,0.018500000000000003,1.31,0.0131,-1.4,-0.013999999999999999,0.0,0.0
